First Name,Last Name,Email,Responded,User ID,Attendee ID,Attendee Registration Date,Attendee Check-in Date,Event,Event Date,Event Type,Chapter,Chapter Region,Chapter Country,Chapter State,City,Event ID,Chapter ID,Order Number,Email_1,First Name_2,Job Title,Last Name_3,Company/Organization,Country,Emergency Contact Information,Industry,I primarily consider myself a:,I represent an organization that:,Please specify dietary needs (if any). If you have a dietary need that isn’t listed, email us at kcd-organizers@cloudnativefinland.org and we will make every reasonable effort to accommodate your need(s).,Do you have a disability that we should be mindful of as we try to accommodate everyone for this event?,Do you identify as a person of color?,What gender do you consider yourself?,What best describes your organization?,How old are you?,I opt in for CNCF post-event communications,Is this your first time attending a KCD?,I opt in for KCD Helsinki / Cloud Native Finland ry post-event communications
,,,2025-01-15 22:54,106464,236621,2025-01-15 22:54,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23213608,j.smith@worlduni.com,,Application Architect,,Arek Oy,,,Financials,Architect,Sells products or services based on cloud native technologies,,No,Prefer not to answer,Prefer not to answer,Not-Affiliated organization,Prefer not to answer,TRUE,Yes,TRUE
,,,2025-01-16 10:57,128639,236684,2025-01-16 10:57,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23216342,e.moneypenny@syard.co.uk,,Software Architect,,SSH,,,Information Technology,Developer,I'm not affliated with an organization,,No,Prefer not to answer,Prefer not to answer,Vendor organization,Prefer not to answer,FALSE,Yes,TRUE
,,,2025-01-16 17:00,128486,236816,2025-01-16 17:00,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23213464,tw@alice.you,,tietoturva-asiantuntija,,traficom,,,Information Technology,,My organization doesn't fit into the above categories,Vegetarian,No,,,,,FALSE,,TRUE
,,,2025-01-18 09:29,129600,236123,2025-01-18 09:29,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23213960,w.orbit@orbit.my,,Senior Data Engineer,,Happeo,,,Information Technology,Developer,Sells products or services based on cloud native technologies,Vegetarian,No,Prefer not to answer,Prefer not to answer,,Prefer not to answer,FALSE,,TRUE
,,,2025-01-18 15:21,6912,236139,2025-01-18 15:21,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23213960,rosaline.franklin@xray.org,,Co-founder & CEO,,bifrost security,,,Information Technology,Business Operations,Sells products or services based on cloud native technologies,,No,No,Male,,40 - 60,FALSE,,TRUE
,,,2025-01-18 15:22,14006,236140,2025-01-18 15:22,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23216663,william.gosset@statsco.net,,CCO,,bifrost security,,,Information Technology,Sales/Marketing,Sells products or services based on cloud native technologies,,No,No,Male,,40 - 60,FALSE,,TRUE
,,,2025-01-18 16:02,129613,236141,2025-01-18 16:02,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23213613,florence.Nightingale@modnurse.ai,,Customer Engineer,,Google,,,Information Technology,Architect,Sells products or services based on cloud native technologies,,No,No,Female,,20 - 39,TRUE,,TRUE
,,,2025-01-18 16:21,129614,236143,2025-01-18 16:21,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23214293,marie.curie@radiotruth.world,,Principal Software Engineer,,Mirantis,,,Information Technology,Developer,Sells products or services based on cloud native technologies,,No,Prefer not to answer,Prefer not to answer,,Prefer not to answer,TRUE,,TRUE
,,,2025-01-18 16:56,11043,236146,2025-01-18 16:56,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23214130,r.carson@bioseas.ocean,,Student,,Aalto University,,,Information Technology,Student,I'm not affliated with an organization,,No,No,Female,,20 - 39,FALSE,,TRUE
,,,2025-01-18 18:50,129626,236166,2025-01-18 18:50,,KCD Helsinki 2025,2025-05-06 09:00,KCD Paid Event,KCD Helsinki,Community Days,Finland,Uusimaa,Helsinki,10177,687,CNCFE23220349,jshow@docsinc.health,,Cloud Architect,,Happeo,,,Information Technology,Architect,Is an end user i.e. consumer of cloud native technologies or a CNCF end user,,No,,,,,TRUE,,TRUE
